publish,rd_name,rd_description,external_rd_url,resource_type,partner_name,resource_name,publication_name,success_story,funder_name,rd_period,Separate subpage (y/n)
publish,Produce Data Project,Market Data Guidelines for Produce in Regional Food Systems resources provide an informational framework and data guidelines to increase the consistency of naming and data conventions to aid smaller producers and producer networks in becoming “wholesale ready”.,https://www.ic-foods.org/produce-data,"Guideline, Report","Wolfe's Neck Center for Agriculture & the Environment, USDA Agricultural Marketing Service","Produce Data Guidelines-Template, Produce Data Guidelines-Report",,,,2020-2022?,Yes
publish,Regenerative Meat Project,"This USDA-funded project focused on strengthening regional meat and meat product supply chains across Northern California. While the project concluded at the end of 2024, both the regional meat producer/supply chain Network and Northern California Regenerative Meat Portal are being continued – hosted by Roots of Change and IC-FOODS, respectively.",caregenmeat.net,Portal,"Roots of Change, ""University of California, Davis""",Northern California Regenerative Meat Portal,,,USDA Agricultural Marketing Service,,Yes
publish,AgriFood Informatics Book,"Biological, Chemical, Environmental, and Health Informatics for Agriculture and Food (expected publication fall 2026)",,Book,"""University of California, Davis""",(TBD available formats),,,Royal Society of Chemistry,2023-2026,
draft,ICICLE,,,,,,,,National Science Foundation,2022-2025,
draft,Growing GRASS,,https://biodivportal.gfbio.org/ontologies/SUMSO,,,Sustainable Meat Systems Ontology,,,USDA NIFA,2023-2025?,
draft,Certification Claims Engine,,,,,,,,Wolfe's Neck Center,2025-present,Not yet
draft,Georgetown EDNA,,,,,,,,,2025-present,
publish,KnowFOOD Webinar Series,"The mission of KnowFood.Live is to deliver interactive content that is intellectually seductive, engaging, memorable, interactive, and fun for executives, professionals, educators, and policy-makers actively engaged in, or considering entering, Local-to-Global Ag/Food/Health Systems and/or in Information Technology related to these systems.",https://www.ic-foods.org/knowfood,"Webinar, Training",Foodtography.Studio,KnowFOOD.Live,,,,,Yes
draft,Smart FoodSheds,,,,"""University of California, Davis"", Ohio State University",,,,USDA,,
draft,Ag Cybersecurity,,,,,,,,,,
draft,NOURISH,,,,,,,,,,
,"Ontology 1, 2, 3...",(placeholder / need to list relevant ones),,,,,,,,,